,psalMean,psalStd,presMean,presStd,cndcMean,cndcStd,tempMean,tempStd,startDate,endDate,nProf
50.0,36.739839622641504,0.16427782140499228,15.190566037735847,7.963338953956282,,,22.49265094339622,0.5612157049435557,2008-07-20,2008-08-21,106.0
51.0,36.82228205128205,0.11393365024357335,15.37264957264957,8.102890330761545,,,23.133025641025643,0.5007762330060871,2008-08-22,2008-09-23,117.0
52.0,36.78477272727273,0.11166994957665817,15.213636363636363,7.963756720771172,,,22.32637500000001,0.43328372781943186,2008-09-24,2008-10-26,88.0
53.0,36.77738271604935,0.09695547533549016,15.08641975308642,7.7217995487842686,,,20.32503703703704,0.6982535972776021,2008-10-27,2008-11-28,81.0
54.0,36.643,0.09494170690925752,15.135714285714286,7.926767871032886,,,18.126500000000004,0.7450491291312787,2008-11-29,2008-12-31,84.0
55.0,36.593527272727286,0.11076379605010578,15.17181818181818,7.921288605880235,,,17.62057272727273,0.7895505219884982,2009-01-01,2009-02-03,110.0
56.0,36.493365853658524,0.10497636488813068,15.195121951219514,7.947448849958767,,,16.75177235772357,0.6524445810647744,2009-02-04,2009-03-09,123.0
57.0,36.4938376068376,0.09934292377702691,15.111965811965813,7.852170382955209,,,16.958487179487182,0.6142940104703403,2009-03-10,2009-04-11,117.0
58.0,36.5512,0.10850246688947199,15.125454545454543,8.011006606894862,,,17.587936363636373,0.642271289065063,2009-04-12,2009-05-14,110.0
59.0,36.59909183673471,0.11121893396755933,15.306060606060605,8.014627165909488,,,18.898707070707076,0.8951799414657123,2009-05-15,2009-06-16,99.0
60.0,36.59132407407407,0.18816501153124904,15.007407407407406,7.849753894632604,,,21.42997222222222,1.338886693734924,2009-06-17,2009-07-19,108.0
61.0,36.608293103448275,0.2221872307700004,15.220689655172409,7.981222715973974,,,22.52513793103448,0.9572453767161155,2009-07-20,2009-08-21,116.0
62.0,36.78499056603773,0.13612959478680384,15.317924528301889,7.914396733257225,,,22.831650943396223,0.7075461693493975,2009-08-22,2009-09-23,106.0
63.0,36.76635,0.1705895525949511,15.145999999999999,7.664458443512058,,,22.569409999999998,0.6087088354571801,2009-09-24,2009-10-26,100.0
64.0,36.664458715596346,0.1953304195890993,15.062752293577983,8.049267952861443,,,21.470724770642214,0.9171564940938445,2009-10-27,2009-11-28,109.0
65.0,36.55987735849057,0.1762117072393148,15.336792452830187,8.062143463912333,,,19.394047169811326,0.9699719915649547,2009-11-29,2009-12-31,106.0
66.0,36.47571304347825,0.17678467253246294,15.099130434782609,8.032636232972248,,,17.835286956521728,1.0426331524643984,2010-01-01,2010-02-03,115.0
67.0,36.46561538461537,0.1284003953983848,15.380219780219779,8.425321883468241,,,17.386483516483526,0.6626473062671068,2010-02-04,2010-03-09,91.0
68.0,36.400119565217416,0.1551528025543469,15.088043478260868,8.438489037076373,,,16.967010869565218,0.8286447759539182,2010-03-10,2010-04-11,92.0
